,mean_1,third quartile_1,std_1,peak count_1,coefOfVar_1,mean_2,third quartile_2,std_2,peak count_2,coefOfVar_2,mean_5,third quartile_5,std_5,peak count_5,coefOfVar_5,mean_10,third quartile_10,std_10,peak count_10,coefOfVar_10,mean_20,third quartile_20,std_20,peak count_20,coefOfVar_20,mean_30,third quartile_30,std_30,peak count_30,coefOfVar_30,mean_40,third quartile_40,std_40,peak count_40,coefOfVar_40,mean_50,third quartile_50,std_50,peak count_50,coefOfVar_50
9015,9.50731468108,9.50897056732,0.00102129458938,1.0,0.000107421982299,9.50731468108,9.51017601783,0.00252242728411,1.0,0.000265314378321,9.50716153607,9.50870780463,0.00182161295417,2.0,0.000191604291908,9.50731021037,9.50950375191,0.00244149682997,2.0,0.0002568020582,9.50728815533,9.50948828526,0.00287426060436,3.0,0.000302321814318,9.50728064327,9.50956110215,0.00337036157053,9.0,0.000354503216744,9.50727807804,9.5100268453,0.00376919072259,13.0,0.000396453190035,9.50728937446,9.51060386427,0.00411167098935,12.0,0.000432475632897
9016,9.5066138822,9.50778579812,0.00113194036495,1.0,0.000119068721942,9.5066138822,9.5083447545,0.00201308732337,1.0,0.000211756504294,9.5066721075,9.50783034094,0.00149208013502,2.0,0.000156950836018,9.50639923041,9.50847402931,0.00332238372255,3.0,0.00034948918534,9.50684518869,9.50806400012,0.00262473461169,4.0,0.000276088919047,9.50674925095,9.50876882506,0.00310881110337,7.0,0.000327010949937,9.50664626655,9.5089078877,0.00382522846283,8.0,0.000402374123911,9.5065870688,9.50895275397,0.00464656915149,12.0,0.000488773638517
9017,9.50809591442,9.50882660448,0.000712393117585,1.0,7.49248981075e-05,9.50809591442,9.50821628405,0.00141459497585,1.0,0.000148777945509,9.50843407887,9.50910143863,0.00144368648691,2.0,0.000151832202331,9.50813465597,9.50939051022,0.00153969308914,2.0,0.000161934295722,9.50820951637,9.51033642732,0.00300391487808,5.0,0.000315928553415,9.50829030021,9.51096930228,0.00395275434908,8.0,0.000415716624574,9.50829711946,9.51100691091,0.00489391909473,10.0,0.000514699849326,9.50826534424,9.51141953272,0.00519908861036,12.0,0.000546796752312
9018,9.50640386329,9.50711944973,0.000579918548823,1.0,6.10029362483e-05,9.50640386329,9.50664758066,0.00132958544113,1.0,0.000139862082471,9.50656670997,9.50690730879,0.00163315583862,2.0,0.0001717923924,9.5065002119,9.50730579416,0.00149752402336,2.0,0.00015752632304,9.50645450818,9.50834957062,0.00322396425256,4.0,0.000339134242928,9.50650655933,9.50980067846,0.00532001394541,7.0,0.000559618184893,9.50648964416,9.51060714116,0.00724665988144,10.0,0.000762285570456,9.50647474579,9.51157143426,0.00893964988297,12.0,0.00094037486261
9019,9.50908712599,9.51041865733,0.00079555040258,1.0,8.36621215096e-05,9.50908712599,9.510996813,0.00246607747682,1.0,0.000259339034772,9.50911872766,9.51046047536,0.00158102852459,2.0,0.000166264463603,9.50883786721,9.51135811818,0.00243840212986,3.0,0.00025643534614,9.50935705998,9.51155376447,0.00417132527239,3.0,0.000438654816102,9.5093852698,9.51197338906,0.00412338301379,6.0,0.000433611941972,9.50939764495,9.51245854573,0.00829978347023,10.0,0.00087279802361,9.50908537527,9.51261931596,0.00600540035085,10.0,0.000631543425455
9020,9.50554551218,9.50640740103,0.000719485460475,1.0,7.5691127832e-05,9.50554551218,9.50665078856,0.00120482865304,1.0,0.000126750079887,9.50552365887,9.50604234736,0.000685573111262,2.0,7.21236552414e-05,9.50532250931,9.50636338487,0.00133363030351,2.0,0.000140303530175,9.50542898254,9.50673578482,0.00190873920822,3.0,0.000200805162158,9.5055056986,9.50744481544,0.00295559489969,6.0,0.000310935051054,9.5054925182,9.50822752523,0.00484814305813,9.0,0.000510035965927,9.50549115897,9.50897415921,0.00647007571928,14.0,0.000680667165018
9021,9.50569522729,9.50804820191,0.00153399877257,1.0,0.000161376809996,9.50569522729,9.50693938905,0.00183210979826,1.0,0.000192738116934,9.50559119165,9.50715071005,0.0014702118884,2.0,0.00015466811677,9.50567427865,9.50725272414,0.00181733784483,2.0,0.000191184527426,9.50571168963,9.50695949116,0.00245292248066,3.0,0.000258047220529,9.50571817342,9.50724185193,0.00297713411757,7.0,0.00031319402314,9.50569278996,9.50779324792,0.00355509151296,7.0,0.000373996045477,9.50568494118,9.50838784583,0.00403538299645,10.0,0.000424523116579
9024,10.0904753627,10.458536441,0.219076802698,1.0,0.0217112469753,10.0904753627,10.19309464,0.396115970943,1.0,0.0392564231816,9.97688033533,10.0554873422,0.20047207517,2.0,0.020093663393,10.0503608555,9.9923573372,0.363503573074,2.0,0.0361682111021,10.1183523154,9.95684168363,0.640518544031,3.0,0.0633026528497,10.119513704,9.95943389791,0.793749716874,8.0,0.0784375356455,10.1086696006,9.96070765764,0.969930859219,10.0,0.095950396792,10.1009785368,9.96259935028,1.12408573584,11.0,0.111284835597
9025,9.94752023841,9.94817673319,0.000760627190982,1.0,7.6464000349e-05,9.94752023841,9.94873157609,0.00168397432021,1.0,0.000169285840073,9.94708606209,9.94822681027,0.00208531815734,2.0,0.000209641109398,9.94702359528,9.94881486996,0.00432456874782,3.0,0.000434760077364,9.94809286931,9.9495992732,0.00242339429019,3.0,0.000243603907003,9.94784519065,9.95029949172,0.00396755709121,6.0,0.000398835829788,9.94765087248,9.9521246928,0.0066063248893,8.0,0.000664109041822,9.94754695421,9.95554690676,0.00986787627981,12.0,0.000991990922509
9026,9.9478232607,9.94892093601,0.00133031170831,1.0,0.000133728924755,9.9478232607,9.94920957045,0.00172979997291,1.0,0.000173887284442,9.94794131226,9.94899488483,0.00176399388571,2.0,0.000177322506269,9.94818558476,9.94856007756,0.00315492376041,2.0,0.000317135595585,9.94808712649,9.9500037939,0.00362251701138,4.0,0.000364142067246,9.94786929338,9.95068664521,0.00457319286718,10.0,0.00045971581776,9.94778381977,9.95223904852,0.00614358647172,11.0,0.00061758343195,9.94779142683,9.95308200521,0.00753793811722,16.0,0.000757749915915
